file,excel_structure_type,description,recommended_chunking_strategy
01_标准明细表_采购申请明细.xlsx,标准明细表,一行一条记录；适合明细行分段,明细行分段
02_多行合并表头_月度指标统计.xlsx,多行、合并表头,两级表头；指标分组；合并单元格,自动识别 + 汇总表分段
03_合并单元格分组_部门任务表.xlsx,合并单元格和分组数据,中心/部门使用合并单元格；子行需继承父级值,层级/分组分段
04_长文本业务记录_月度考核表.xlsx,一条记录包含大量长文本,一人一条记录；长字段需拆子块并重复姓名/部门,业务记录父子分段
05_多工作表跨表关联_项目任务人员.xlsx,多工作表及跨表关联,项目主表、任务明细、人员字典通过编号/姓名关联,工作簿结构识别 + 跨表关联
06_汇总统计报表_公式图表.xlsx,汇总表、统计报表、公式、图表,公式计算完成率和延期率；包含图表,汇总表/工作表整体分段
07_树形台账_案卷文件附件层级.xlsx,树形台账、主从表,案卷-文件-附件三层结构；子行继承父级,层级分段
08_表单式Excel_采购申请单.xlsx,表单式 Excel,字段和值分散布局；审批意见小表,表单分段
09_公式辅助列批注说明_OCR质量日报.xlsx,公式、辅助列、批注说明,公式成功率、辅助列、批注说明区域,自动识别 + 公式结果保留
10_单工作表多个独立表格_项目月报.xlsx,一个工作表包含多个独立表格,项目概况、里程碑、风险问题三个区域,多表区域识别 + 区域级分段
